List of Sophie Germain primes from 1 to 100000.,,,,,,,,,,,,,,,,,,,,,,,,,
26573.0,53147.0,,,,,,,,,,,,,,,,,,,,,,,,
26633.0,53267.0,,,,,,,,,,,,,,,,,,,,,,,,
26849.0,53699.0,,,,,,,,,,,,,,,,,,,,,,,,
26879.0,53759.0,,,,,,,,,,,,,,,,,,,,,,,,
26891.0,53783.0,,,,,,,,,,,,,,,,,,,,,,,,
26993.0,53987.0,,,,,,,,,,,,,,,,,,,,,,,,
27143.0,54287.0,,,,,,,,,,,,,,,,,,,,,,,,
27281.0,54563.0,,,,,,,,,,,,,,,,,,,,,,,,
27479.0,54959.0,,,,,,,,,,,,,,,,,,,,,,,,
27539.0,55079.0,,,,,,,,,,,,,,,,,,,,,,,,
27551.0,55103.0,,,,,,,,,,,,,,,,,,,,,,,,
27581.0,55163.0,,,,,,,,,,,,,,,,,,,,,,,,
27743.0,55487.0,,,,,,,,,,,,,,,,,,,,,,,,
27773.0,55547.0,,,,,,,,,,,,,,,,,,,,,,,,
27809.0,55619.0,,,,,,,,,,,,,,,,,,,,,,,,
27893.0,55787.0,,,,,,,,,,,,,,,,,,,,,,,,
27983.0,55967.0,,,,,,,,,,,,,,,,,,,,,,,,
28001.0,56003.0,,,,,,,,,,,,,,,,,,,,,,,,
28019.0,56039.0,,,,,,,,,,,,,,,,,,,,,,,,
28403.0,56807.0,,,,,,,,,,,,,,,,,,,,,,,,
28499.0,56999.0,,,,,,,,,,,,,,,,,,,,,,,,
28559.0,57119.0,,,,,,,,,,,,,,,,,,,,,,,,
28571.0,57143.0,,,,,,,,,,,,,,,,,,,,,,,,
28643.0,57287.0,,,,,,,,,,,,,,,,,,,,,,,,
28751.0,57503.0,,,,,,,,,,,,,,,,,,,,,,,,
28793.0,57587.0,,,,,,,,,,,,,,,,,,,,,,,,
28859.0,57719.0,,,,,,,,,,,,,,,,,,,,,,,,
28901.0,57803.0,,,,,,,,,,,,,,,,,,,,,,,,
28949.0,57899.0,,,,,,,,,,,,,,,,,,,,,,,,
28961.0,57923.0,,,,,,,,,,,,,,,,,,,,,,,,
29021.0,58043.0,,,,,,,,,,,,,,,,,,,,,,,,
29033.0,58067.0,,,,,,,,,,,,,,,,,,,,,,,,
29201.0,58403.0,,,,,,,,,,,,,,,,,,,,,,,,
29339.0,58679.0,,,,,,,,,,,,,,,,,,,,,,,,
29363.0,58727.0,,,,,,,,,,,,,,,,,,,,,,,,
29453.0,58907.0,,,,,,,,,,,,,,,,,,,,,,,,
29483.0,58967.0,,,,,,,,,,,,,,,,,,,,,,,,
29531.0,59063.0,,,,,,,,,,,,,,,,,,,,,,,,
29723.0,59447.0,,,,,,,,,,,,,,,,,,,,,,,,
29873.0,59747.0,,,,,,,,,,,,,,,,,,,,,,,,
30269.0,60539.0,,,,,,,,,,,,,,,,,,,,,,,,
30323.0,60647.0,,,,,,,,,,,,,,,,,,,,,,,,
30389.0,60779.0,,,,,,,,,,,,,,,,,,,,,,,,
30449.0,60899.0,,,,,,,,,,,,,,,,,,,,,,,,
30671.0,61343.0,,,,,,,,,,,,,,,,,,,,,,,,
30689.0,61379.0,,,,,,,,,,,,,,,,,,,,,,,,
30773.0,61547.0,,,,,,,,,,,,,,,,,,,,,,,,
30851.0,61703.0,,,,,,,,,,,,,,,,,,,,,,,,
30983.0,61967.0,,,,,,,,,,,,,,,,,,,,,,,,
31019.0,62039.0,,,,,,,,,,,,,,,,,,,,,,,,
31151.0,62303.0,,,,,,,,,,,,,,,,,,,,,,,,
31253.0,62507.0,,,,,,,,,,,,,,,,,,,,,,,,
31319.0,62639.0,,,,,,,,,,,,,,,,,,,,,,,,
31469.0,62939.0,,,,,,,,,,,,,,,,,,,,,,,,
31649.0,63299.0,,,,,,,,,,,,,,,,,,,,,,,,
31721.0,63443.0,,,,,,,,,,,,,,,,,,,,,,,,
31793.0,63587.0,,,,,,,,,,,,,,,,,,,,,,,,
31799.0,63599.0,,,,,,,,,,,,,,,,,,,,,,,,
31859.0,63719.0,,,,,,,,,,,,,,,,,,,,,,,,
32003.0,64007.0,,,,,,,,,,,,,,,,,,,,,,,,
32009.0,64019.0,,,,,,,,,,,,,,,,,,,,,,,,
32141.0,64283.0,,,,,,,,,,,,,,,,,,,,,,,,
32159.0,64319.0,,,,,,,,,,,,,,,,,,,,,,,,
32381.0,64763.0,,,,,,,,,,,,,,,,,,,,,,,,
32531.0,65063.0,,,,,,,,,,,,,,,,,,,,,,,,
32561.0,65123.0,,,,,,,,,,,,,,,,,,,,,,,,
32573.0,65147.0,,,,,,,,,,,,,,,,,,,,,,,,
32633.0,65267.0,,,,,,,,,,,,,,,,,,,,,,,,
32771.0,65543.0,,,,,,,,,,,,,,,,,,,,,,,,
32789.0,65579.0,,,,,,,,,,,,,,,,,,,,,,,,
32843.0,65687.0,,,,,,,,,,,,,,,,,,,,,,,,
32933.0,65867.0,,,,,,,,,,,,,,,,,,,,,,,,
33023.0,66047.0,,,,,,,,,,,,,,,,,,,,,,,,
33053.0,66107.0,,,,,,,,,,,,,,,,,,,,,,,,
33119.0,66239.0,,,,,,,,,,,,,,,,,,,,,,,,
33179.0,66359.0,,,,,,,,,,,,,,,,,,,,,,,,
33191.0,66383.0,,,,,,,,,,,,,,,,,,,,,,,,
33461.0,66923.0,,,,,,,,,,,,,,,,,,,,,,,,
33479.0,66959.0,,,,,,,,,,,,,,,,,,,,,,,,
33521.0,67043.0,,,,,,,,,,,,,,,,,,,,,,,,
33569.0,67139.0,,,,,,,,,,,,,,,,,,,,,,,,
33623.0,67247.0,,,,,,,,,,,,,,,,,,,,,,,,
33713.0,67427.0,,,,,,,,,,,,,,,,,,,,,,,,
33749.0,67499.0,,,,,,,,,,,,,,,,,,,,,,,,
33773.0,67547.0,,,,,,,,,,,,,,,,,,,,,,,,
33809.0,67619.0,,,,,,,,,,,,,,,,,,,,,,,,
33941.0,67883.0,,,,,,,,,,,,,,,,,,,,,,,,
34253.0,68507.0,,,,,,,,,,,,,,,,,,,,,,,,
34283.0,68567.0,,,,,,,,,,,,,,,,,,,,,,,,
34319.0,68639.0,,,,,,,,,,,,,,,,,,,,,,,,
34439.0,68879.0,,,,,,,,,,,,,,,,,,,,,,,,
34631.0,69263.0,,,,,,,,,,,,,,,,,,,,,,,,
34883.0,69767.0,,,,,,,,,,,,,,,,,,,,,,,,
34913.0,69827.0,,,,,,,,,,,,,,,,,,,,,,,,
34949.0,69899.0,,,,,,,,,,,,,,,,,,,,,,,,
35069.0,70139.0,,,,,,,,,,,,,,,,,,,,,,,,
35081.0,70163.0,,,,,,,,,,,,,,,,,,,,,,,,
35099.0,70199.0,,,,,,,,,,,,,,,,,,,,,,,,
35111.0,70223.0,,,,,,,,,,,,,,,,,,,,,,,,
35291.0,70583.0,,,,,,,,,,,,,,,,,,,,,,,,
35573.0,71147.0,,,,,,,,,,,,,,,,,,,,,,,,
35831.0,71663.0,,,,,,,,,,,,,,,,,,,,,,,,
35933.0,71867.0,,,,,,,,,,,,,,,,,,,,,,,,
35993.0,71987.0,,,,,,,,,,,,,,,,,,,,,,,,
35999.0,71999.0,,,,,,,,,,,,,,,,,,,,,,,,
36083.0,72167.0,,,,,,,,,,,,,,,,,,,,,,,,
36191.0,72383.0,,,,,,,,,,,,,,,,,,,,,,,,
36251.0,72503.0,,,,,,,,,,,,,,,,,,,,,,,,
36353.0,72707.0,,,,,,,,,,,,,,,,,,,,,,,,
36383.0,72767.0,,,,,,,,,,,,,,,,,,,,,,,,
36479.0,72959.0,,,,,,,,,,,,,,,,,,,,,,,,
36563.0,73127.0,,,,,,,,,,,,,,,,,,,,,,,,
36629.0,73259.0,,,,,,,,,,,,,,,,,,,,,,,,
36761.0,73523.0,,,,,,,,,,,,,,,,,,,,,,,,
36791.0,73583.0,,,,,,,,,,,,,,,,,,,,,,,,
36821.0,73643.0,,,,,,,,,,,,,,,,,,,,,,,,
36923.0,73847.0,,,,,,,,,,,,,,,,,,,,,,,,
36929.0,73859.0,,,,,,,,,,,,,,,,,,,,,,,,
37013.0,74027.0,,,,,,,,,,,,,,,,,,,,,,,,
37049.0,74099.0,,,,,,,,,,,,,,,,,,,,,,,,
37139.0,74279.0,,,,,,,,,,,,,,,,,,,,,,,,
37181.0,74363.0,,,,,,,,,,,,,,,,,,,,,,,,
37253.0,74507.0,,,,,,,,,,,,,,,,,,,,,,,,
37379.0,74759.0,,,,,,,,,,,,,,,,,,,,,,,,
37619.0,75239.0,,,,,,,,,,,,,,,,,,,,,,,,
37853.0,75707.0,,,,,,,,,,,,,,,,,,,,,,,,
37871.0,75743.0,,,,,,,,,,,,,,,,,,,,,,,,
37991.0,75983.0,,,,,,,,,,,,,,,,,,,,,,,,
38039.0,76079.0,,,,,,,,,,,,,,,,,,,,,,,,
38183.0,76367.0,,,,,,,,,,,,,,,,,,,,,,,,
38189.0,76379.0,,,,,,,,,,,,,,,,,,,,,,,,
38201.0,76403.0,,,,,,,,,,,,,,,,,,,,,,,,
38231.0,76463.0,,,,,,,,,,,,,,,,,,,,,,,,
38303.0,76607.0,,,,,,,,,,,,,,,,,,,,,,,,
38333.0,76667.0,,,,,,,,,,,,,,,,,,,,,,,,
38453.0,76907.0,,,,,,,,,,,,,,,,,,,,,,,,
38459.0,76919.0,,,,,,,,,,,,,,,,,,,,,,,,
38501.0,77003.0,,,,,,,,,,,,,,,,,,,,,,,,
38639.0,77279.0,,,,,,,,,,,,,,,,,,,,,,,,
38669.0,77339.0,,,,,,,,,,,,,,,,,,,,,,,,
38723.0,77447.0,,,,,,,,,,,,,,,,,,,,,,,,
38861.0,77723.0,,,,,,,,,,,,,,,,,,,,,,,,
38873.0,77747.0,,,,,,,,,,,,,,,,,,,,,,,,
38891.0,77783.0,,,,,,,,,,,,,,,,,,,,,,,,
38933.0,77867.0,,,,,,,,,,,,,,,,,,,,,,,,
39089.0,78179.0,,,,,,,,,,,,,,,,,,,,,,,,
39233.0,78467.0,,,,,,,,,,,,,,,,,,,,,,,,
39239.0,78479.0,,,,,,,,,,,,,,,,,,,,,,,,
39419.0,78839.0,,,,,,,,,,,,,,,,,,,,,,,,
39443.0,78887.0,,,,,,,,,,,,,,,,,,,,,,,,
39521.0,79043.0,,,,,,,,,,,,,,,,,,,,,,,,
39551.0,79103.0,,,,,,,,,,,,,,,,,,,,,,,,
39569.0,79139.0,,,,,,,,,,,,,,,,,,,,,,,,
39659.0,79319.0,,,,,,,,,,,,,,,,,,,,,,,,
39779.0,79559.0,,,,,,,,,,,,,,,,,,,,,,,,
39953.0,79907.0,,,,,,,,,,,,,,,,,,,,,,,,
39971.0,79943.0,,,,,,,,,,,,,,,,,,,,,,,,
39983.0,79967.0,,,,,,,,,,,,,,,,,,,,,,,,
39989.0,79979.0,,,,,,,,,,,,,,,,,,,,,,,,
40193.0,80387.0,,,,,,,,,,,,,,,,,,,,,,,,
40283.0,80567.0,,,,,,,,,,,,,,,,,,,,,,,,
40343.0,80687.0,,,,,,,,,,,,,,,,,,,,,,,,
40559.0,81119.0,,,,,,,,,,,,,,,,,,,,,,,,
40763.0,81527.0,,,,,,,,,,,,,,,,,,,,,,,,
40823.0,81647.0,,,,,,,,,,,,,,,,,,,,,,,,
40853.0,81707.0,,,,,,,,,,,,,,,,,,,,,,,,
40949.0,81899.0,,,,,,,,,,,,,,,,,,,,,,,,
41081.0,82163.0,,,,,,,,,,,,,,,,,,,,,,,,
41231.0,82463.0,,,,,,,,,,,,,,,,,,,,,,,,
41243.0,82487.0,,,,,,,,,,,,,,,,,,,,,,,,
41381.0,82763.0,,,,,,,,,,,,,,,,,,,,,,,,
41399.0,82799.0,,,,,,,,,,,,,,,,,,,,,,,,
41603.0,83207.0,,,,,,,,,,,,,,,,,,,,,,,,
41609.0,83219.0,,,,,,,,,,,,,,,,,,,,,,,,
41621.0,83243.0,,,,,,,,,,,,,,,,,,,,,,,,
41669.0,83339.0,,,,,,,,,,,,,,,,,,,,,,,,
41729.0,83459.0,,,,,,,,,,,,,,,,,,,,,,,,
41969.0,83939.0,,,,,,,,,,,,,,,,,,,,,,,,
42023.0,84047.0,,,,,,,,,,,,,,,,,,,,,,,,
42071.0,84143.0,,,,,,,,,,,,,,,,,,,,,,,,
42089.0,84179.0,,,,,,,,,,,,,,,,,,,,,,,,
42131.0,84263.0,,,,,,,,,,,,,,,,,,,,,,,,
42221.0,84443.0,,,,,,,,,,,,,,,,,,,,,,,,
42359.0,84719.0,,,,,,,,,,,,,,,,,,,,,,,,
42473.0,84947.0,,,,,,,,,,,,,,,,,,,,,,,,
42611.0,85223.0,,,,,,,,,,,,,,,,,,,,,,,,
42719.0,85439.0,,,,,,,,,,,,,,,,,,,,,,,,
42743.0,85487.0,,,,,,,,,,,,,,,,,,,,,,,,
42821.0,85643.0,,,,,,,,,,,,,,,,,,,,,,,,
42923.0,85847.0,,,,,,,,,,,,,,,,,,,,,,,,
43013.0,86027.0,,,,,,,,,,,,,,,,,,,,,,,,
43313.0,86627.0,,,,,,,,,,,,,,,,,,,,,,,,
43391.0,86783.0,,,,,,,,,,,,,,,,,,,,,,,,
43541.0,87083.0,,,,,,,,,,,,,,,,,,,,,,,,
43649.0,87299.0,,,,,,,,,,,,,,,,,,,,,,,,
43661.0,87323.0,,,,,,,,,,,,,,,,,,,,,,,,
43691.0,87383.0,,,,,,,,,,,,,,,,,,,,,,,,
43721.0,87443.0,,,,,,,,,,,,,,,,,,,,,,,,
43793.0,87587.0,,,,,,,,,,,,,,,,,,,,,,,,
43943.0,87887.0,,,,,,,,,,,,,,,,,,,,,,,,
44111.0,88223.0,,,,,,,,,,,,,,,,,,,,,,,,
44129.0,88259.0,,,,,,,,,,,,,,,,,,,,,,,,
44189.0,88379.0,,,,,,,,,,,,,,,,,,,,,,,,
44249.0,88499.0,,,,,,,,,,,,,,,,,,,,,,,,
44273.0,88547.0,,,,,,,,,,,,,,,,,,,,,,,,
44501.0,89003.0,,,,,,,,,,,,,,,,,,,,,,,,
44543.0,89087.0,,,,,,,,,,,,,,,,,,,,,,,,
44651.0,89303.0,,,,,,,,,,,,,,,,,,,,,,,,
44699.0,89399.0,,,,,,,,,,,,,,,,,,,,,,,,
44729.0,89459.0,,,,,,,,,,,,,,,,,,,,,,,,
44879.0,89759.0,,,,,,,,,,,,,,,,,,,,,,,,
44909.0,89819.0,,,,,,,,,,,,,,,,,,,,,,,,
45053.0,90107.0,,,,,,,,,,,,,,,,,,,,,,,,
45119.0,90239.0,,,,,,,,,,,,,,,,,,,,,,,,
45131.0,90263.0,,,,,,,,,,,,,,,,,,,,,,,,
45179.0,90359.0,,,,,,,,,,,,,,,,,,,,,,,,
45263.0,90527.0,,,,,,,,,,,,,,,,,,,,,,,,
45329.0,90659.0,,,,,,,,,,,,,,,,,,,,,,,,
45569.0,91139.0,,,,,,,,,,,,,,,,,,,,,,,,
45599.0,91199.0,,,,,,,,,,,,,,,,,,,,,,,,
45641.0,91283.0,,,,,,,,,,,,,,,,,,,,,,,,
45971.0,91943.0,,,,,,,,,,,,,,,,,,,,,,,,
46181.0,92363.0,,,,,,,,,,,,,,,,,,,,,,,,
46199.0,92399.0,,,,,,,,,,,,,,,,,,,,,,,,
46229.0,92459.0,,,,,,,,,,,,,,,,,,,,,,,,
46349.0,92699.0,,,,,,,,,,,,,,,,,,,,,,,,
46523.0,93047.0,,,,,,,,,,,,,,,,,,,,,,,,
46589.0,93179.0,,,,,,,,,,,,,,,,,,,,,,,,
46619.0,93239.0,,,,,,,,,,,,,,,,,,,,,,,,
46643.0,93287.0,,,,,,,,,,,,,,,,,,,,,,,,
46691.0,93383.0,,,,,,,,,,,,,,,,,,,,,,,,
46703.0,93407.0,,,,,,,,,,,,,,,,,,,,,,,,
46751.0,93503.0,,,,,,,,,,,,,,,,,,,,,,,,
47189.0,94379.0,,,,,,,,,,,,,,,,,,,,,,,,
47279.0,94559.0,,,,,,,,,,,,,,,,,,,,,,,,
47363.0,94727.0,,,,,,,,,,,,,,,,,,,,,,,,
47501.0,95003.0,,,,,,,,,,,,,,,,,,,,,,,,
47513.0,95027.0,,,,,,,,,,,,,,,,,,,,,,,,
47543.0,95087.0,,,,,,,,,,,,,,,,,,,,,,,,
47609.0,95219.0,,,,,,,,,,,,,,,,,,,,,,,,
47639.0,95279.0,,,,,,,,,,,,,,,,,,,,,,,,
47741.0,95483.0,,,,,,,,,,,,,,,,,,,,,,,,
48029.0,96059.0,,,,,,,,,,,,,,,,,,,,,,,,
48131.0,96263.0,,,,,,,,,,,,,,,,,,,,,,,,
48221.0,96443.0,,,,,,,,,,,,,,,,,,,,,,,,
48239.0,96479.0,,,,,,,,,,,,,,,,,,,,,,,,
48413.0,96827.0,,,,,,,,,,,,,,,,,,,,,,,,
48479.0,96959.0,,,,,,,,,,,,,,,,,,,,,,,,
48563.0,97127.0,,,,,,,,,,,,,,,,,,,,,,,,
48593.0,97187.0,,,,,,,,,,,,,,,,,,,,,,,,
48731.0,97463.0,,,,,,,,,,,,,,,,,,,,,,,,
48761.0,97523.0,,,,,,,,,,,,,,,,,,,,,,,,
49103.0,98207.0,,,,,,,,,,,,,,,,,,,,,,,,
49193.0,98387.0,,,,,,,,,,,,,,,,,,,,,,,,
49253.0,98507.0,,,,,,,,,,,,,,,,,,,,,,,,
49331.0,98663.0,,,,,,,,,,,,,,,,,,,,,,,,
49433.0,98867.0,,,,,,,,,,,,,,,,,,,,,,,,
49463.0,98927.0,,,,,,,,,,,,,,,,,,,,,,,,
49481.0,98963.0,,,,,,,,,,,,,,,,,,,,,,,,
49499.0,98999.0,,,,,,,,,,,,,,,,,,,,,,,,
49559.0,99119.0,,,,,,,,,,,,,,,,,,,,,,,,
49811.0,99623.0,,,,,,,,,,,,,,,,,,,,,,,,
49853.0,99707.0,,,,,,,,,,,,,,,,,,,,,,,,
49919.0,99839.0,,,,,,,,,,,,,,,,,,,,,,,,
50021.0,100043.0,,,,,,,,,,,,,,,,,,,,,,,,
50051.0,100103.0,,,,,,,,,,,,,,,,,,,,,,,,
50261.0,100523.0,,,,,,,,,,,,,,,,,,,,,,,,
50273.0,100547.0,,,,,,,,,,,,,,,,,,,,,,,,
50411.0,100823.0,,,,,,,,,,,,,,,,,,,,,,,,
50423.0,100847.0,,,,,,,,,,,,,,,,,,,,,,,,
50513.0,101027.0,,,,,,,,,,,,,,,,,,,,,,,,
50591.0,101183.0,,,,,,,,,,,,,,,,,,,,,,,,
50741.0,101483.0,,,,,,,,,,,,,,,,,,,,,,,,
50873.0,101747.0,,,,,,,,,,,,,,,,,,,,,,,,
50969.0,101939.0,,,,,,,,,,,,,,,,,,,,,,,,
50993.0,101987.0,,,,,,,,,,,,,,,,,,,,,,,,
51203.0,102407.0,,,,,,,,,,,,,,,,,,,,,,,,
51503.0,103007.0,,,,,,,,,,,,,,,,,,,,,,,,
51521.0,103043.0,,,,,,,,,,,,,,,,,,,,,,,,
51539.0,103079.0,,,,,,,,,,,,,,,,,,,,,,,,
51659.0,103319.0,,,,,,,,,,,,,,,,,,,,,,,,
51893.0,103787.0,,,,,,,,,,,,,,,,,,,,,,,,
52103.0,104207.0,,,,,,,,,,,,,,,,,,,,,,,,
52121.0,104243.0,,,,,,,,,,,,,,,,,,,,,,,,
52163.0,104327.0,,,,,,,,,,,,,,,,,,,,,,,,
52289.0,104579.0,,,,,,,,,,,,,,,,,,,,,,,,
52361.0,104723.0,,,,,,,,,,,,,,,,,,,,,,,,
52379.0,104759.0,,,,,,,,,,,,,,,,,,,,,,,,
52511.0,105023.0,,,,,,,,,,,,,,,,,,,,,,,,
52553.0,105107.0,,,,,,,,,,,,,,,,,,,,,,,,
52571.0,105143.0,,,,,,,,,,,,,,,,,,,,,,,,
52583.0,105167.0,,,,,,,,,,,,,,,,,,,,,,,,
52631.0,105263.0,,,,,,,,,,,,,,,,,,,,,,,,
52733.0,105467.0,,,,,,,,,,,,,,,,,,,,,,,,
52883.0,105767.0,,,,,,,,,,,,,,,,,,,,,,,,
53051.0,106103.0,,,,,,,,,,,,,,,,,,,,,,,,
53093.0,106187.0,,,,,,,,,,,,,,,,,,,,,,,,
53309.0,106619.0,,,,,,,,,,,,,,,,,,,,,,,,
53411.0,106823.0,,,,,,,,,,,,,,,,,,,,,,,,
53453.0,106907.0,,,,,,,,,,,,,,,,,,,,,,,,
53549.0,107099.0,,,,,,,,,,,,,,,,,,,,,,,,
53591.0,107183.0,,,,,,,,,,,,,,,,,,,,,,,,
53639.0,107279.0,,,,,,,,,,,,,,,,,,,,,,,,
53849.0,107699.0,,,,,,,,,,,,,,,,,,,,,,,,
53951.0,107903.0,,,,,,,,,,,,,,,,,,,,,,,,
54011.0,108023.0,,,,,,,,,,,,,,,,,,,,,,,,
54101.0,108203.0,,,,,,,,,,,,,,,,,,,,,,,,
54251.0,108503.0,,,,,,,,,,,,,,,,,,,,,,,,
54293.0,108587.0,,,,,,,,,,,,,,,,,,,,,,,,
54401.0,108803.0,,,,,,,,,,,,,,,,,,,,,,,,
54413.0,108827.0,,,,,,,,,,,,,,,,,,,,,,,,
54443.0,108887.0,,,,,,,,,,,,,,,,,,,,,,,,
54773.0,109547.0,,,,,,,,,,,,,,,,,,,,,,,,
54941.0,109883.0,,,,,,,,,,,,,,,,,,,,,,,,
54959.0,109919.0,,,,,,,,,,,,,,,,,,,,,,,,
55229.0,110459.0,,,,,,,,,,,,,,,,,,,,,,,,
55439.0,110879.0,,,,,,,,,,,,,,,,,,,,,,,,
55469.0,110939.0,,,,,,,,,,,,,,,,,,,,,,,,
55631.0,111263.0,,,,,,,,,,,,,,,,,,,,,,,,
55661.0,111323.0,,,,,,,,,,,,,,,,,,,,,,,,
55673.0,111347.0,,,,,,,,,,,,,,,,,,,,,,,,
55721.0,111443.0,,,,,,,,,,,,,,,,,,,,,,,,
55733.0,111467.0,,,,,,,,,,,,,,,,,,,,,,,,
55799.0,111599.0,,,,,,,,,,,,,,,,,,,,,,,,
55829.0,111659.0,,,,,,,,,,,,,,,,,,,,,,,,
55889.0,111779.0,,,,,,,,,,,,,,,,,,,,,,,,
55931.0,111863.0,,,,,,,,,,,,,,,,,,,,,,,,
56009.0,112019.0,,,,,,,,,,,,,,,,,,,,,,,,
56081.0,112163.0,,,,,,,,,,,,,,,,,,,,,,,,
56099.0,112199.0,,,,,,,,,,,,,,,,,,,,,,,,
56123.0,112247.0,,,,,,,,,,,,,,,,,,,,,,,,
56393.0,112787.0,,,,,,,,,,,,,,,,,,,,,,,,
56489.0,112979.0,,,,,,,,,,,,,,,,,,,,,,,,
56519.0,113039.0,,,,,,,,,,,,,,,,,,,,,,,,
56531.0,113063.0,,,,,,,,,,,,,,,,,,,,,,,,
56663.0,113327.0,,,,,,,,,,,,,,,,,,,,,,,,
56681.0,113363.0,,,,,,,,,,,,,,,,,,,,,,,,
56783.0,113567.0,,,,,,,,,,,,,,,,,,,,,,,,
56891.0,113783.0,,,,,,,,,,,,,,,,,,,,,,,,
56909.0,113819.0,,,,,,,,,,,,,,,,,,,,,,,,
56921.0,113843.0,,,,,,,,,,,,,,,,,,,,,,,,
56951.0,113903.0,,,,,,,,,,,,,,,,,,,,,,,,
57041.0,114083.0,,,,,,,,,,,,,,,,,,,,,,,,
57149.0,114299.0,,,,,,,,,,,,,,,,,,,,,,,,
57203.0,114407.0,,,,,,,,,,,,,,,,,,,,,,,,
57329.0,114659.0,,,,,,,,,,,,,,,,,,,,,,,,
57413.0,114827.0,,,,,,,,,,,,,,,,,,,,,,,,
57773.0,115547.0,,,,,,,,,,,,,,,,,,,,,,,,
57839.0,115679.0,,,,,,,,,,,,,,,,,,,,,,,,
57881.0,115763.0,,,,,,,,,,,,,,,,,,,,,,,,
58013.0,116027.0,,,,,,,,,,,,,,,,,,,,,,,,
58049.0,116099.0,,,,,,,,,,,,,,,,,,,,,,,,
58193.0,116387.0,,,,,,,,,,,,,,,,,,,,,,,,
58211.0,116423.0,,,,,,,,,,,,,,,,,,,,,,,,
58451.0,116903.0,,,,,,,,,,,,,,,,,,,,,,,,
58511.0,117023.0,,,,,,,,,,,,,,,,,,,,,,,,
58601.0,117203.0,,,,,,,,,,,,,,,,,,,,,,,,
58889.0,117779.0,,,,,,,,,,,,,,,,,,,,,,,,
58979.0,117959.0,,,,,,,,,,,,,,,,,,,,,,,,
59021.0,118043.0,,,,,,,,,,,,,,,,,,,,,,,,
59063.0,118127.0,,,,,,,,,,,,,,,,,,,,,,,,
59123.0,118247.0,,,,,,,,,,,,,,,,,,,,,,,,
59369.0,118739.0,,,,,,,,,,,,,,,,,,,,,,,,
59393.0,118787.0,,,,,,,,,,,,,,,,,,,,,,,,
59399.0,118799.0,,,,,,,,,,,,,,,,,,,,,,,,
59453.0,118907.0,,,,,,,,,,,,,,,,,,,,,,,,
59513.0,119027.0,,,,,,,,,,,,,,,,,,,,,,,,
59621.0,119243.0,,,,,,,,,,,,,,,,,,,,,,,,
59723.0,119447.0,,,,,,,,,,,,,,,,,,,,,,,,
59879.0,119759.0,,,,,,,,,,,,,,,,,,,,,,,,
59981.0,119963.0,,,,,,,,,,,,,,,,,,,,,,,,
60083.0,120167.0,,,,,,,,,,,,,,,,,,,,,,,,
60149.0,120299.0,,,,,,,,,,,,,,,,,,,,,,,,
60251.0,120503.0,,,,,,,,,,,,,,,,,,,,,,,,
60293.0,120587.0,,,,,,,,,,,,,,,,,,,,,,,,
60383.0,120767.0,,,,,,,,,,,,,,,,,,,,,,,,
60449.0,120899.0,,,,,,,,,,,,,,,,,,,,,,,,
60509.0,121019.0,,,,,,,,,,,,,,,,,,,,,,,,
60689.0,121379.0,,,,,,,,,,,,,,,,,,,,,,,,
60719.0,121439.0,,,,,,,,,,,,,,,,,,,,,,,,
60761.0,121523.0,,,,,,,,,,,,,,,,,,,,,,,,
60773.0,121547.0,,,,,,,,,,,,,,,,,,,,,,,,
60779.0,121559.0,,,,,,,,,,,,,,,,,,,,,,,,
61331.0,122663.0,,,,,,,,,,,,,,,,,,,,,,,,
61409.0,122819.0,,,,,,,,,,,,,,,,,,,,,,,,
61469.0,122939.0,,,,,,,,,,,,,,,,,,,,,,,,
61703.0,123407.0,,,,,,,,,,,,,,,,,,,,,,,,
61751.0,123503.0,,,,,,,,,,,,,,,,,,,,,,,,
61961.0,123923.0,,,,,,,,,,,,,,,,,,,,,,,,
61991.0,123983.0,,,,,,,,,,,,,,,,,,,,,,,,
62099.0,124199.0,,,,,,,,,,,,,,,,,,,,,,,,
62171.0,124343.0,,,,,,,,,,,,,,,,,,,,,,,,
62213.0,124427.0,,,,,,,,,,,,,,,,,,,,,,,,
62351.0,124703.0,,,,,,,,,,,,,,,,,,,,,,,,
62423.0,124847.0,,,,,,,,,,,,,,,,,,,,,,,,
62459.0,124919.0,,,,,,,,,,,,,,,,,,,,,,,,
62501.0,125003.0,,,,,,,,,,,,,,,,,,,,,,,,
62591.0,125183.0,,,,,,,,,,,,,,,,,,,,,,,,
62603.0,125207.0,,,,,,,,,,,,,,,,,,,,,,,,
62753.0,125507.0,,,,,,,,,,,,,,,,,,,,,,,,
62819.0,125639.0,,,,,,,,,,,,,,,,,,,,,,,,
62981.0,125963.0,,,,,,,,,,,,,,,,,,,,,,,,
63113.0,126227.0,,,,,,,,,,,,,,,,,,,,,,,,
63179.0,126359.0,,,,,,,,,,,,,,,,,,,,,,,,
63419.0,126839.0,,,,,,,,,,,,,,,,,,,,,,,,
63671.0,127343.0,,,,,,,,,,,,,,,,,,,,,,,,
63743.0,127487.0,,,,,,,,,,,,,,,,,,,,,,,,
63803.0,127607.0,,,,,,,,,,,,,,,,,,,,,,,,
63839.0,127679.0,,,,,,,,,,,,,,,,,,,,,,,,
63863.0,127727.0,,,,,,,,,,,,,,,,,,,,,,,,
